OTU,S1,S2,S3,S4,S5,S6,S7,S8,S9,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu3,108021,60378,119674,14478,7277,2314,38,13,46,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Desulfuromonadaceae,g__Desulfuromonas,
Otu2,6,2,13,15867,66427,21664,11121,5401,31755,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Trichococcus,
Otu1,5,2,8,51842,57152,30886,383,77,473,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__BVA18,,
Otu8,56697,976,982,1,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Desulfuromonadaceae,g__Desulfuromonas,
Otu10,67,58,98,520,367,235,1640,2242,13572,k__Bacteria,p__Verrucomicrobia,c__OPB35 soil group,,,,
Otu6,1089,682,1385,713,1207,418,1122,1601,10112,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__KD1-131,,
Otu13,1573,839,1628,1982,888,467,2057,457,2603,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__uncultured,
Otu4,161,485,1393,117,131,35,6045,330,973,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Thauera,
Otu15,1,14,17,368,306,112,1201,1383,5407,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,
Otu18,5369,1964,5110,297,555,265,24,105,345,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Blvii28 wastewater-sludge group,
Otu12,542,2791,6022,907,782,443,259,27,241,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Blvii28 wastewater-sludge group,
Otu11,183,73,195,2791,4032,1858,145,151,481,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__WCHB1-69,,
Otu25,318,142,333,48,153,70,968,1073,4997,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__uncultured,
Otu22,113,71,300,24,48,27,2631,622,3354,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Hydrogenophaga,
Otu20,1516,782,1601,803,1733,902,333,90,527,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__vadinBC27 wastewater-sludge group,
Otu5,37,97,711,6,127,22,324,421,6784,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Azoarcus,
