,Smp1,Smp2,Smp3,Smp4,Smp5,Smp6,Smp7,Smp8,Domain,Phylum,Class,Order,Family,Genus,Species
ASV1,108021,60380,119952,57318,14479,7085,2314,11316,d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,,,,
ASV2,0,0,0,8,51842,57152,30886,120831,d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Geobacteraceae,g__Geobacter,s__midas_s_2713
ASV3,0,0,13,11,15867,66427,21664,73895,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Trichococcus,s__midas_s_4
ASV4,56697,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,,,,
ASV5,0,2791,6022,2506,907,782,443,1509,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,,
ASV6,5858,1964,5110,1852,297,555,265,814,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,,,
ASV7,143,73,159,52,2791,4032,1858,5159,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Sphingobacteriales,f__Lentimicrobiaceae,g__midas_g_362,s__midas_s_5396
ASV8,0,1878,5397,2460,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__Sulfuritalea,s__midas_s_7698
ASV9,1573,817,1574,1283,1982,888,467,1375,d__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,,
ASV10,1538,782,1601,606,803,1733,902,1816,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__midas_g_6724,s__midas_s_6724
ASV11,2263,1059,3122,1474,139,235,164,625,d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__midas_g_5121,s__midas_s_5121
ASV12,1089,682,1385,527,713,1207,418,1054,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Sphingobacteriales,,,
ASV13,1110,461,997,737,1186,515,381,733,d__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__midas_g_249,
ASV14,1234,786,2009,771,99,201,54,195,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Dysgonomonadaceae,g__Petrimonas,s__Petrimonas_sulfuriphila
ASV15,125,660,1605,758,788,243,129,379,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Blvii28_wastewater-sludge_group,
ASV16,2615,641,1076,913,34,56,33,75,d__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__midas_g_762,s__midas_s_762
ASV17,812,917,2034,899,86,17,0,24,d__Bacteria,p__Spirochaetes,c__Leptospirae,o__Leptospirales,f__Leptospiraceae,g__RBG-16-49-21,
ASV18,659,427,986,758,161,166,97,188,d__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__midas_g_249,s__midas_s_8102
ASV19,316,707,1251,620,78,61,53,181,d__Bacteria,p__Proteobacteria,,,,,
ASV20,489,612,1581,674,0,0,0,0,d__Bacteria,p__Proteobacteria,,,,,
ASV21,316,190,432,140,469,846,322,950,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Christensenellaceae_R-7_group,s__midas_s_785
ASV22,1387,388,988,282,166,298,83,180,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Sphingobacteriales,f__Lentimicrobiaceae,g__midas_g_362,
ASV23,605,282,508,456,340,314,157,423,d__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__midas_g_762,s__midas_s_762
ASV24,1867,302,689,356,104,12,5,17,d__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__midas_g_7231,s__midas_s_7231
ASV25,51,34,136,44,399,26,10,20,d__Bacteria,p__Cloacimonetes,c__Cloacimonadia,o__Cloacimonadales,f__Cloacimonadaceae,g__midas_g_6330,s__midas_s_6330
ASV26,56,170,352,152,0,0,0,0,d__Bacteria,p__Proteobacteria,,,,,
ASV27,15,175,329,157,0,0,0,0,d__Bacteria,p__Epsilonbacteraeota,c__Campylobacteria,o__Campylobacterales,f__Arcobacteraceae,g__Arcobacter,s__midas_s_1440
ASV28,35,109,210,68,71,98,44,88,d__Bacteria,p__Spirochaetes,c__MVP-15,o__midas_o_6772,f__midas_f_6772,g__midas_g_6772,s__midas_s_6772
ASV29,100,114,300,122,8,17,14,29,d__Bacteria,p__Proteobacteria,,,,,
ASV30,53,77,157,55,190,58,21,60,d__Bacteria,p__Cloacimonetes,c__Cloacimonadia,o__Cloacimonadales,f__Cloacimonadaceae,g__LNR_A2-18,s__midas_s_5734
ASV31,232,142,227,112,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,,
ASV32,17,22,90,33,34,229,100,206,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Simplicispira,
ASV33,101,119,224,101,12,24,16,63,d__Bacteria,,,,,,
ASV34,0,0,0,0,87,270,104,252,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__midas_f_728,g__midas_g_8032,s__midas_s_8032
ASV35,74,102,356,113,0,0,0,0,d__Bacteria,p__Proteobacteria,,,,,
ASV36,0,0,0,0,498,0,0,0,d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Geobacteraceae,g__Geobacter,s__midas_s_9397
