OTU,S1,S2,S3,S4,S5,S6,S7,S8,S9,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV3,109823,62590,124787,12658,6091,1883,43,0,50,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Desulfuromonadaceae,g__Desulfuromonas,
ASV1,0,0,0,49069,56898,31497,386,80,465,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__BVA18,,
ASV2,0,0,0,14573,60493,18067,11623,5320,32826,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Trichococcus,
ASV8,47446,195,195,0,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Desulfuromonadaceae,g__Desulfuromonas,
ASV9,66,63,99,514,360,246,1608,2187,13133,k__Bacteria,p__Verrucomicrobia,c__OPB35 soil group,,,,
ASV6,918,590,1211,667,1121,389,1098,1533,9558,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__KD1-131,,
ASV13,1564,799,1443,1829,881,488,2004,439,2625,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__uncultured,
ASV14,0,0,20,357,298,112,1169,1359,5009,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,
ASV11,37,2745,5904,856,671,392,265,0,232,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Blvii28 wastewater-sludge group,
ASV18,5137,1873,4865,292,0,0,0,103,316,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Blvii28 wastewater-sludge group,
ASV12,143,63,136,2539,3091,1703,133,148,432,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__WCHB1-69,,
ASV26,308,134,330,54,155,69,850,947,4583,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__uncultured,
ASV4,104,352,1028,0,69,0,4811,228,777,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Thauera,
ASV21,116,65,305,21,51,0,2565,609,3201,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Hydrogenophaga,
ASV20,1460,750,1523,723,1552,829,307,87,519,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__vadinBC27 wastewater-sludge group,
ASV10,18,0,18,0,77,27,1496,533,4265,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Aquimonas,
ASV22,2144,982,2935,130,224,152,331,114,626,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__uncultured,
ASV5,0,0,327,0,123,22,165,365,5712,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Azoarcus,
ASV19,31,37,113,0,0,0,0,1002,2736,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Marinilabiaceae,g__Mangroviflexus,
ASV33,0,1700,4848,0,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__uncultured,
ASV34,190,24,56,6,190,41,1605,271,2093,k__Bacteria,p__Bacteroidetes,c__Bacteroidetes VC2.1 Bac22,,,,
ASV49,12,18,77,225,258,126,1671,302,1133,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,g__Desulfobulbus,
ASV29,589,283,480,323,325,156,485,261,1463,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__uncultured,
ASV41,0,0,59,25,23,8,2920,56,284,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,,
ASV43,811,312,781,1054,398,279,270,86,383,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__uncultured,
ASV31,324,157,418,465,830,316,453,124,657,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Christensenellaceae R-7 group,
ASV25,1304,326,846,154,272,74,1049,27,236,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__WCHB1-69,,
ASV76,0,25,88,6,29,37,2160,144,391,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Hydrogenophilales,f__Hydrogenophilaceae,g__uncultured,
ASV37,764,746,1905,95,198,49,114,69,508,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Petrimonas,
ASV79,0,0,0,0,0,0,489,623,904,k__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__Planctomycetales,f__Planctomycetaceae,g__Pirellula,
ASV17,28,28,117,0,211,71,137,221,3150,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__uncultured,
ASV28,0,10,38,0,13,0,618,394,1802,k__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__Planctomycetales,f__Planctomycetaceae,g__Planctomyces,
ASV32,87,0,62,15,0,0,777,324,1578,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidia Incertae Sedis,f__Draconibacteriaceae,g__uncultured,
ASV30,0,54,222,22,232,67,263,368,1531,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Hydrogenophaga,
ASV55,279,0,37,257,355,291,487,173,956,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanocorpusculaceae,g__Methanocorpusculum,
ASV52,2598,630,1090,29,66,33,0,5,28,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__Aminivibrio,
