ASV,Smp1,Smp2,Smp3,Smp4,Smp5,Smp6,Smp7,Smp8,Domain,Phylum,Class,Order,Family,Genus,Species
ASV1,0,0,0,0,44238,47258,25715,99466,d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Geobacteraceae,g__Geobacter,
ASV101,18,0,0,0,94,106,42,173,d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,g__Desulfobulbus,
ASV11,397,2334,5097,2113,786,691,392,1300,d__Bacteria,p__Bacteroidetes,,,,,
ASV1121,0,0,0,0,0,0,0,22,d__Bacteria,,,,,,
ASV115,125,21,92,22,40,95,52,107,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Proteiniphilum,
ASV12,152,0,149,57,2363,3142,1445,3871,d__Bacteria,p__Bacteroidetes,,,,,
ASV122,63,92,300,97,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfomicrobiaceae,g__Desulfomicrobium,
ASV125,0,96,204,92,85,0,0,0,d__Bacteria,,,,,,
ASV126,50,66,130,43,172,53,0,65,d__Bacteria,p__Cloacimonetes,c__Candidatus Cloacamonas,,,,
ASV127,181,44,135,55,0,31,0,0,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,,
ASV1291,22,0,0,0,0,0,0,0,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,,,
ASV13,1384,729,1341,1103,1759,785,428,1192,d__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__Aminivibrio,
ASV138,28,0,49,23,26,101,55,245,d__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Arcobacter,
