ASV,Smp1,Smp2,Smp3,Smp4,Smp5,Smp6,Smp7,Smp8
SV19,108021,60380,119952,57318,14479,7085,2314,11316
SV2,0,0,0,8,51842,57152,30886,120831
SV3,0,0,13,11,15867,66427,21664,73895
SV1231,56697,0,0,0,0,0,0,0
SV46,5858,1964,5110,1852,297,555,265,814
SV18,0,2791,6022,2506,907,782,443,1509
SV59,143,73,159,52,2791,4032,1858,5159
SV45,1573,817,1574,1283,1982,888,467,1375
SV7,1538,782,1601,606,803,1733,902,1816
SV1311,0,1878,5397,2460,0,0,0,0
SV99,2263,1059,3122,1474,139,235,164,625
SV22,1089,682,1385,527,713,1207,418,1054
SV20,1110,461,997,737,1186,515,381,733
SV271,2615,641,1076,913,34,56,33,75
SV136,1234,786,2009,771,99,201,54,195
SV500,812,917,2034,899,86,17,0,24
SV10,125,660,1605,758,788,243,129,379
SV88,1387,388,988,282,166,298,83,180
SV13,316,190,432,140,469,846,322,950
SV21,0,0,0,0,180,1852,417,1051
SV104,659,427,986,758,161,166,97,188
SV37,28,44,83,35,942,769,383,1135
SV714,489,612,1581,674,0,0,0,0
SV200,1867,302,689,356,104,12,5,17
SV80,316,707,1251,620,78,61,53,181
SV95,605,282,508,456,340,314,157,423
SV152,17,22,90,33,34,229,100,206
SV1226,56,170,352,152,0,0,0,0
SV79,35,109,210,68,71,98,44,88
SV302,51,34,136,44,399,26,10,20
SV1215,133,142,312,128,0,0,0,0
SV864,232,142,227,112,0,0,0,0
SV147,52,114,259,83,85,67,13,40
SV110,0,0,0,0,87,270,104,252
SV97,40,0,66,24,97,179,68,237
SV126,100,114,300,122,8,17,14,29
SV76,101,0,0,0,0,227,93,283
SV12,0,0,0,0,26,217,110,328
SV1326,15,175,329,157,0,0,0,0
SV231,79,143,327,115,0,0,10,0
SV193,53,77,157,55,190,58,21,60
SV1196,426,62,115,58,0,0,0,0
SV26,101,119,224,101,12,24,16,63
SV82,219,75,204,87,20,26,7,22
SV153,189,26,57,23,7,188,37,121
SV483,74,102,356,113,0,0,0,0
SV107,22,27,49,27,33,113,69,297
SV209,27,25,101,28,0,208,66,178
SV31,199,54,122,82,86,26,14,31
SV178,0,0,0,0,149,159,81,202
SV160,66,68,181,42,90,66,27,48
SV144,130,25,97,27,43,88,59,106
SV868,126,98,237,111,0,0,0,0
SV236,20,15,39,11,106,122,49,201
SV161,25,0,0,0,132,166,77,163
SV216,40,67,206,57,98,38,17,36
SV197,210,51,152,60,17,33,11,21
SV394,261,36,200,19,0,16,0,14
SV172,0,32,88,25,107,109,35,119
SV28,44,30,115,46,50,102,27,96
SV39,37,21,39,27,107,102,47,128
SV1049,0,0,0,0,498,0,0,0
SV261,161,22,91,24,5,69,24,101
SV43,0,0,0,0,277,75,35,107
SV42,0,0,0,0,0,307,75,105
SV218,90,47,78,76,43,69,20,60
SV96,0,0,0,0,76,102,65,239
SV167,0,0,0,0,226,117,24,108
SV239,63,27,86,31,59,54,24,118
SV203,50,34,60,65,84,60,43,55
SV83,7,35,70,23,9,135,30,138
SV155,96,26,47,0,125,17,13,120
SV301,60,74,130,22,66,33,13,41
SV51,0,0,0,0,101,106,74,155
SV64,29,44,61,27,55,85,31,103
SV108,62,26,60,26,111,47,35,67
SV321,22,39,228,26,85,11,7,16
SV33,0,0,0,0,22,221,90,97
SV134,73,52,141,56,24,28,11,36
SV1025,64,90,172,68,0,9,0,9
SV69,0,8,12,0,99,135,49,102
SV185,10,14,30,0,60,121,57,111
SV163,70,16,44,13,79,71,26,83
SV205,22,57,169,32,17,36,24,45
SV408,46,80,187,41,11,10,0,25
SV112,0,0,0,0,35,113,43,201
SV168,56,23,47,19,162,29,17,36
SV138,0,5,16,0,90,79,29,169
SV40,0,0,0,0,181,66,29,98
SV27,0,0,0,0,45,143,46,139
SV232,32,40,88,55,0,44,20,90
SV1283,81,63,172,51,0,0,0,0
SV127,0,0,0,0,70,137,42,115
SV1017,6,0,309,27,0,0,0,14
SV1202,103,63,144,45,0,0,0,0
SV250,22,22,111,27,87,21,28,36
SV894,0,0,0,0,0,19,0,20
SV288,0,0,0,0,0,18,9,12
