# Constructed from biom file
#OTU ID	S10	S11	S12	S13	S20	S21	S22	S23	S26	S27	S28	S29	S4	S5	S6	S7
554345c10941538d3c323777253ee02d	0.0	0.0	14.0	0.0	21102.0	16385.0	4777.0	17839.0	1941.0	8230.0	3829.0	7037.0	0.0	0.0	0.0	0.0
ee0197c76ca344faba7cb98a26719838	0.0	0.0	0.0	0.0	19489.0	13748.0	8570.0	25646.0	0.0	138.0	0.0	68.0	0.0	0.0	0.0	0.0
72e71f717565a0afdddffaf3f7f1e9b2	45.0	50.0	97.0	84.0	1013.0	1693.0	522.0	2851.0	0.0	0.0	0.0	107.0	11302.0	21046.0	11153.0	9637.0
99ebc3fd7be0a94952e00751f9337419	5375.0	8202.0	11419.0	3635.0	0.0	36.0	0.0	0.0	73.0	177.0	0.0	134.0	84.0	241.0	91.0	0.0
dd814a5fa37574d0d584b7172e37d55b	1103.0	466.0	4092.0	97.0	24.0	0.0	0.0	16.0	108.0	1034.0	1170.0	4598.0	0.0	0.0	0.0	44.0
f66ccbeb60d8131fd8fd07c8b36b6606	234.0	222.0	1174.0	181.0	381.0	271.0	80.0	234.0	545.0	2168.0	1326.0	1500.0	123.0	296.0	123.0	105.0
30ad487e1e86be71afce4e03fd7553b5	1165.0	1123.0	4165.0	755.0	7.0	8.0	0.0	10.0	32.0	120.0	306.0	870.0	0.0	0.0	0.0	0.0
3da9642c7075ebfc93cc637e40ee4cbc	633.0	171.0	3037.0	178.0	28.0	21.0	0.0	21.0	215.0	1461.0	625.0	2149.0	0.0	0.0	0.0	0.0
bebe610b24ce6b051fb5b2c8ddf17261	510.0	875.0	1745.0	1342.0	12.0	0.0	0.0	0.0	116.0	551.0	172.0	613.0	0.0	21.0	0.0	0.0
9e0afec959f4de2ec77a597506dca6ff	22.0	18.0	110.0	39.0	125.0	74.0	47.0	56.0	784.0	2532.0	1009.0	949.0	0.0	26.0	0.0	24.0
8835e37b11698e44116e990ddbed73ee	62.0	88.0	354.0	106.0	99.0	90.0	39.0	112.0	524.0	1452.0	594.0	2105.0	0.0	0.0	0.0	0.0
6e37c294da30a0187d9f79f0660564af	367.0	1785.0	917.0	2172.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	23.0	0.0
def11098adff8af1cb06ef63979410e6	468.0	861.0	2126.0	763.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.0	398.0	182.0	96.0
d963a648e475e9c4d75d21bc2ba10e49	424.0	282.0	1981.0	156.0	0.0	0.0	0.0	0.0	389.0	667.0	259.0	653.0	0.0	25.0	0.0	17.0
c5dc97f3124977a979f23452d3dbe005	392.0	586.0	1575.0	869.0	44.0	89.0	0.0	0.0	0.0	0.0	50.0	70.0	92.0	246.0	69.0	66.0
9a3ce95ff298ebae52df4bef58719eb8	277.0	267.0	1475.0	231.0	84.0	51.0	12.0	0.0	71.0	603.0	322.0	714.0	0.0	29.0	9.0	0.0
1c0c5e973f01557f0d18794dbb730c85	131.0	1190.0	221.0	2431.0	0.0	0.0	0.0	0.0	16.0	52.0	18.0	71.0	0.0	0.0	0.0	0.0
afadeb1f4f2b1c719a5c16a30609d987	0.0	0.0	0.0	0.0	1235.0	989.0	383.0	1141.0	38.0	108.0	69.0	87.0	0.0	0.0	0.0	0.0
644b1334c878e19daacf2e75bade51a3	188.0	221.0	805.0	285.0	191.0	98.0	61.0	197.0	0.0	0.0	0.0	0.0	316.0	647.0	294.0	0.0
bcfe696a33ba2bb932c47e2e55d5a4b1	525.0	147.0	1104.0	285.0	10.0	0.0	0.0	0.0	166.0	401.0	163.0	472.0	0.0	11.0	0.0	0.0
280d755395a677366ab52b9e8e46adfb	191.0	133.0	828.0	88.0	56.0	53.0	18.0	123.0	53.0	106.0	95.0	208.0	194.0	557.0	257.0	224.0
fb09bd939ee8acee32c4ce2863f79ab0	56.0	66.0	253.0	54.0	441.0	411.0	179.0	388.0	35.0	105.0	102.0	182.0	173.0	327.0	168.0	142.0
939728918f4123604eb6fa9ea509626d	0.0	0.0	214.0	0.0	53.0	36.0	16.0	35.0	378.0	1287.0	347.0	416.0	38.0	111.0	39.0	36.0
8f1f0c16b5ae8d0f4a9f295ceefeb311	233.0	168.0	1218.0	175.0	0.0	0.0	0.0	0.0	114.0	395.0	238.0	334.0	0.0	16.0	0.0	0.0
12322f15c5dcca422f121c2e90eb3566	394.0	87.0	1914.0	91.0	0.0	0.0	0.0	0.0	0.0	71.0	40.0	226.0	0.0	13.0	0.0	10.0
9f2f738a607cb3d02f41b4661989b627	0.0	0.0	104.0	0.0	0.0	0.0	0.0	0.0	301.0	1199.0	363.0	847.0	0.0	0.0	0.0	0.0
61f1bf165ebf6d9e9351f6e27154f231	0.0	0.0	0.0	0.0	1147.0	726.0	0.0	771.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1b8b16a4ce560e2d0681a99107169b46	174.0	106.0	741.0	87.0	0.0	0.0	0.0	0.0	163.0	575.0	231.0	492.0	15.0	47.0	0.0	0.0
568704c86381ac651e0dd370fe61fc51	317.0	342.0	1507.0	220.0	0.0	0.0	0.0	15.0	24.0	81.0	0.0	0.0	0.0	20.0	0.0	0.0
79e81f193345c75f75e40c4ed458e9c7	225.0	80.0	695.0	0.0	4.0	0.0	0.0	0.0	38.0	411.0	172.0	612.0	0.0	0.0	0.0	0.0
3cc8850f9a53f62ef9a46c17da38bea5	31.0	74.0	110.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	343.0	838.0	427.0	255.0
d9df3619ff8f99b2b8bebe2410ea0e7d	103.0	167.0	392.0	140.0	60.0	49.0	11.0	45.0	23.0	100.0	46.0	102.0	150.0	449.0	178.0	111.0
