# Constructed from biom file
#OTU ID	S20	S5	S22	S23	S7	S12	S29	S11	S28	S13	S6	S10	S27	S26	S4	S21
361f78d2bb56c276dfca337e80263583	22579.0	0.0	8229.0	32536.0	0.0	3.0	49.0	7.0	9.0	5.0	2.0	0.0	119.0	6.0	2.0	16002.0
41787e27248b41054d769912c0d7b4d0	20655.0	2.0	4853.0	17840.0	2.0	11.0	6975.0	6.0	3789.0	0.0	3.0	5.0	8183.0	1970.0	0.0	16080.0
e768cdd098169b784e628634e59a7053	1375.0	25.0	484.0	1376.0	8.0	0.0	115.0	0.0	72.0	0.0	15.0	0.0	126.0	47.0	13.0	1151.0
7c9473dba4ebf32d3c090b1e857a220d	821.0	29439.0	451.0	2610.0	10434.0	78.0	94.0	43.0	0.0	75.0	14926.0	28.0	8.0	3.0	14419.0	1506.0
f7d049b256d73cef2b9898bb8d3a0a22	537.0	454.0	213.0	492.0	189.0	307.0	228.0	69.0	132.0	73.0	203.0	62.0	165.0	39.0	217.0	444.0
aadfa95b0b3f8f0e0fa3a23c40ecb50f	435.0	365.0	100.0	256.0	138.0	1509.0	1996.0	262.0	1730.0	249.0	155.0	276.0	2929.0	640.0	153.0	329.0
365b342cabacf3724c1a15a75d3686a6	362.0	0.0	72.0	246.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	170.0
ce898e6f609ada594dd2857559da15d3	279.0	23.0	75.0	237.0	6.0	99.0	178.0	26.0	61.0	30.0	7.0	13.0	94.0	31.0	13.0	204.0
37ada35e902090e3e254a7090dee7769	256.0	3.0	73.0	232.0	4.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	3.0	0.0	3.0	155.0
b789e85ed8f124b46035a7dc619c9115	240.0	88.0	63.0	189.0	22.0	275.0	243.0	75.0	87.0	58.0	32.0	69.0	131.0	44.0	26.0	165.0
8cbb3ef8c7b6d5c8c1ea3a449d21873a	222.0	320.0	104.0	222.0	138.0	169.0	133.0	49.0	61.0	69.0	238.0	39.0	156.0	33.0	123.0	155.0
72e9e1830398e9e8c3dec4bce4c8afc7	206.0	798.0	59.0	212.0	235.0	992.0	6.0	267.0	8.0	358.0	360.0	230.0	22.0	0.0	376.0	95.0
01c8368d230eb922db2054585f1c7e93	179.0	8.0	60.0	62.0	5.0	20.0	62.0	4.0	110.0	2.0	8.0	9.0	194.0	53.0	4.0	69.0
975a0c32db18e2448cc44cab0b325f92	176.0	39.0	38.0	161.0	17.0	0.0	71.0	0.0	0.0	0.0	18.0	0.0	0.0	1.0	33.0	127.0
6386ed7fe2a06da77923a50bb23a0289	147.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	22.0	0.0	0.0	0.0	45.0	19.0	0.0	184.0
0589c6b6011b34c6a6509d44c4975de5	134.0	101.0	37.0	95.0	72.0	196.0	253.0	46.0	128.0	38.0	102.0	41.0	205.0	68.0	68.0	78.0
aedcad6341ce94de27f348021977f21d	134.0	0.0	21.0	82.0	0.0	0.0	22.0	0.0	30.0	0.0	0.0	0.0	30.0	6.0	0.0	101.0
b38a003dbe5d130bf49b280e08befec8	134.0	2.0	11.0	14.0	0.0	9.0	706.0	16.0	218.0	19.0	0.0	4.0	432.0	40.0	0.0	46.0
eccbf6ab93f71517dbd672f47c98655e	129.0	10.0	33.0	121.0	2.0	11.0	24.0	0.0	5.0	0.0	0.0	2.0	14.0	4.0	2.0	79.0
d0c04cd04e565c4772baeca7cd57120a	124.0	129.0	25.0	33.0	21.0	616.0	420.0	35.0	18.0	29.0	51.0	53.0	71.0	8.0	33.0	53.0
0fb91557cf0d417a367b7e8f50e2b51b	117.0	0.0	47.0	188.0	0.0	0.0	148.0	0.0	89.0	0.0	0.0	0.0	124.0	53.0	0.0	93.0
f0fd62636ade41c5a5c3d38f8a0ce33d	112.0	0.0	51.0	119.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0
c901afe26d8f9eecb972381bc8f1b495	109.0	20.0	44.0	50.0	19.0	97.0	920.0	13.0	973.0	31.0	8.0	22.0	2555.0	714.0	15.0	57.0
dfb5b5b528191be001eb776219960a78	95.0	22.0	40.0	71.0	6.0	84.0	347.0	71.0	161.0	74.0	6.0	13.0	295.0	105.0	4.0	64.0
5bb7d7d121885e49d42e687fb9755e30	95.0	27.0	27.0	85.0	16.0	13.0	24.0	7.0	5.0	7.0	23.0	3.0	16.0	8.0	10.0	77.0
