user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
KM1	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Thermoguttaceae;g__Thermogutta;s__	N/A	N/A	N/A	N/A	N/A	GCF_002277955.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Thermoguttaceae;g__Thermogutta;s__Thermogutta terrifontis	76.87	0.07	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Thermoguttaceae;g__Thermogutta;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_012798155.1, s__Thermogutta sp012798155, 95.0, 76.33, 0.06	82.47	11	0.9355095416585957	N/A
KM104	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__JAAZAB01;f__JAAZAB01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_012514555.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__JAAZAB01;f__JAAZAB01;g__JAAZAB01;s__JAAZAB01 sp012514555	75.57	0.03	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__JAAZAB01;f__JAAZAB01;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	86.68	11	0.7927269214698426	N/A
KM105	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Caldicoprobacterales;f__Caldicoprobacteraceae;g__Caldicoprobacter;s__Caldicoprobacter sp017577715	GCA_017577715.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Caldicoprobacterales;f__Caldicoprobacteraceae;g__Caldicoprobacter;s__Caldicoprobacter sp017577715	98.78	0.89	GCA_017577715.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Caldicoprobacterales;f__Caldicoprobacteraceae;g__Caldicoprobacter;s__Caldicoprobacter sp017577715	98.78	0.89	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Caldicoprobacterales;f__Caldicoprobacteraceae;g__Caldicoprobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_000526435.1, s__Caldicoprobacter oshimai, 95.0, 84.14, 0.8; GCF_016908415.1, s__Caldicoprobacter guelmensis, 95.0, 79.65, 0.64	84.39	11	N/A	N/A
KM106	d__Bacteria;p__Firmicutes_H;c__UBA994;o__UBA5500;f__UBA5500;g__UBA5500;s__	N/A	N/A	N/A	N/A	N/A	GCA_012727835.1	95.0	d__Bacteria;p__Firmicutes_H;c__UBA994;o__UBA5500;f__UBA5500;g__UBA5500;s__UBA5500 sp012727835	78.74	0.42	d__Bacteria;p__Firmicutes_H;c__UBA994;o__UBA5500;f__UBA5500;g__UBA5500;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002427055.1, s__UBA5500 sp002427055, 95.0, 77.07, 0.13	95.33	11	0.9123943970389954	N/A
KM108	d__Bacteria;p__Firmicutes_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Pelotomaculaceae;g__DTU098;s__DTU098 sp001512635	GCA_001512635.1	95.0	d__Bacteria;p__Firmicutes_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Pelotomaculaceae;g__DTU098;s__DTU098 sp001512635	99.73	0.94	GCA_001512635.1	95.0	d__Bacteria;p__Firmicutes_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Pelotomaculaceae;g__DTU098;s__DTU098 sp001512635	99.73	0.94	d__Bacteria;p__Firmicutes_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Pelotomaculaceae;g__DTU098;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002305915.1, s__DTU098 sp002305915, 95.0, 88.78, 0.79; GCA_002408725.1, s__DTU098 sp002408725, 95.0, 79.39, 0.48	91.44	11	N/A	N/A
KM11	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__DSM-8532;g__DTU059;s__DTU059 sp012842645	GCA_012842645.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__DSM-8532;g__DTU059;s__DTU059 sp012842645	99.54	0.96	GCA_012842645.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__DSM-8532;g__DTU059;s__DTU059 sp012842645	99.54	0.96	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__DSM-8532;g__DTU059;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_012840245.1, s__DTU059 sp012840245, 95.0, 78.01, 0.36; GCA_012520855.1, s__DTU059 sp012520855, 95.0, 77.56, 0.31; GCA_012523685.1, s__DTU059 sp012523685, 95.0, 77.4, 0.13; GCA_012728095.1, s__DTU059 sp012728095, 95.0, 77.12, 0.12; GCA_003535195.1, s__DTU059 sp003535195, 95.0, 76.64, 0.05; GCA_012719545.1, s__DTU059 sp012719545, 95.0, 76.55, 0.07; GCA_012523705.1, s__DTU059 sp012523705, 95.0, 76.47, 0.08; GCA_012520615.1, s__DTU059 sp012520615, 95.0, 76.31, 0.07; GCA_012521615.1, s__DTU059 sp012521615, 95.0, 76.21, 0.04; GCA_002376415.1, s__DTU059 sp002376415, 95.0, 76.21, 0.08; GCA_012521705.1, s__DTU059 sp012521705, 95.0, 76.05, 0.07; GCA_012839205.1, s__DTU059 sp012839205, 95.0, 76.03, 0.1	93.11	11	N/A	N/A
KM110	d__Bacteria;p__Firmicutes_G;c__SHA-98;o__UBA4971;f__UBA4971;g__UBA6256;s__UBA6256 sp012842395	GCA_012842395.1	95.0	d__Bacteria;p__Firmicutes_G;c__SHA-98;o__UBA4971;f__UBA4971;g__UBA6256;s__UBA6256 sp012842395	98.95	0.93	GCA_012842395.1	95.0	d__Bacteria;p__Firmicutes_G;c__SHA-98;o__UBA4971;f__UBA4971;g__UBA6256;s__UBA6256 sp012842395	98.95	0.93	d__Bacteria;p__Firmicutes_G;c__SHA-98;o__UBA4971;f__UBA4971;g__UBA6256;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_012516125.1, s__UBA6256 sp012516125, 95.0, 81.0, 0.58; GCA_014360195.1, s__UBA6256 sp014360195, 95.0, 80.87, 0.6; GCA_002452295.1, s__UBA6256 sp002452295, 95.0, 78.93, 0.45	90.98	11	N/A	N/A
KM113	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Caldicoprobacterales;f__Caldicoprobacteraceae;g__DTU074;s__DTU074 sp001513505	GCA_001513505.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Caldicoprobacterales;f__Caldicoprobacteraceae;g__DTU074;s__DTU074 sp001513505	99.59	0.89	GCA_001513505.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Caldicoprobacterales;f__Caldicoprobacteraceae;g__DTU074;s__DTU074 sp001513505	99.59	0.89	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Caldicoprobacterales;f__Caldicoprobacteraceae;g__DTU074;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001513075.1, s__DTU074 sp001513075, 95.0, 80.37, 0.49; GCA_002385885.1, s__DTU074 sp002385885, 95.0, 79.75, 0.55	86.38	11	N/A	N/A
KM115	d__Bacteria;p__Planctomycetota;c__UBA8108;o__UBA8890;f__UBA8898;g__UBA8898;s__UBA8898 sp002070955	GCA_002070955.1	95.0	d__Bacteria;p__Planctomycetota;c__UBA8108;o__UBA8890;f__UBA8898;g__UBA8898;s__UBA8898 sp002070955	99.96	0.99	GCA_002070955.1	95.0	d__Bacteria;p__Planctomycetota;c__UBA8108;o__UBA8890;f__UBA8898;g__UBA8898;s__UBA8898 sp002070955	99.96	0.99	d__Bacteria;p__Planctomycetota;c__UBA8108;o__UBA8890;f__UBA8898;g__UBA8898;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002402755.1, s__UBA8898 sp002402755, 95.0, 85.33, 0.69	85.03	11	N/A	N/A
KM118	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus_A;s__Lactococcus_A raffinolactis	GCF_001591765.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus_A;s__Lactococcus_A raffinolactis	99.01	0.91	GCF_001591765.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus_A;s__Lactococcus_A raffinolactis	99.01	0.91	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_013449735.1, s__Lactococcus_A laudensis, 95.0, 87.54, 0.82; GCF_002441885.1, s__Lactococcus_A chungangensis, 95.0, 85.29, 0.78; GCF_002260845.1, s__Lactococcus_A reticulitermitis, 95.0, 84.96, 0.78; GCF_002441695.1, s__Lactococcus_A piscium, 95.0, 80.07, 0.39; GCF_006770285.1, s__Lactococcus_A paracarnosus, 95.0, 79.56, 0.37; GCF_006770265.1, s__Lactococcus_A carnosus, 95.0, 79.21, 0.38; GCF_011170065.1, s__Lactococcus_A insecticola, 95.0, 79.18, 0.32; GCF_002441715.1, s__Lactococcus_A plantarum, 95.0, 79.16, 0.3; GCF_011170085.1, s__Lactococcus_A hodotermopsidis, 95.0, 78.22, 0.33	92.71	11	N/A	N/A
KM120	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-698;g__DTU056;s__DTU056 sp001512985	GCA_001512985.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-698;g__DTU056;s__DTU056 sp001512985	99.5	0.99	GCA_001512985.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-698;g__DTU056;s__DTU056 sp001512985	99.5	0.99	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-698;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	93.65	11	N/A	N/A
KM121	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU010;f__DTU012;g__DTU012;s__DTU012 sp900019385	GCA_900019385.1	95.0	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU010;f__DTU012;g__DTU012;s__DTU012 sp900019385	99.82	0.94	GCA_900019385.1	95.0	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU010;f__DTU012;g__DTU012;s__DTU012 sp900019385	99.82	0.94	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU010;f__DTU012;g__DTU012;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_012520795.1, s__DTU012 sp012520795, 95.0, 78.57, 0.41; GCA_012840925.1, s__DTU012 sp012840925, 95.0, 78.29, 0.46; GCA_012837335.1, s__DTU012 sp012837335, 95.0, 76.97, 0.1; GCA_012521805.1, s__DTU012 sp012521805, 95.0, 76.69, 0.11	93.84	11	N/A	N/A
KM122	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Hungateiclostridium;s__Hungateiclostridium thermocellum	GCF_000015865.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Hungateiclostridium;s__Hungateiclostridium thermocellum	99.72	0.98	GCF_000015865.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Hungateiclostridium;s__Hungateiclostridium thermocellum	99.72	0.98	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Hungateiclostridium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_000521465.1, s__Hungateiclostridium straminisolvens, 95.0, 84.11, 0.84; GCF_004102745.1, s__Hungateiclostridium mesophilum, 95.0, 81.8, 0.78; GCA_001512505.1, s__Hungateiclostridium sp001512505, 95.0, 77.72, 0.29; GCA_012523755.1, s__Hungateiclostridium sp012523755, 95.0, 77.31, 0.25; GCA_012798835.1, s__Hungateiclostridium sp012798835, 95.0, 76.63, 0.09	94.88	11	N/A	N/A
KM123	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__DTU019;s__DTU019 sp001512785	GCA_001512785.1	95.0	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__DTU019;s__DTU019 sp001512785	99.4	0.89	GCA_001512785.1	95.0	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__DTU019;s__DTU019 sp001512785	99.4	0.89	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__DTU019;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002398825.1, s__DTU019 sp002398825, 95.0, 80.62, 0.59; GCA_002402575.1, s__DTU019 sp002402575, 95.0, 78.26, 0.29	90.79	11	N/A	N/A
KM125	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mobilitalea;s__	N/A	N/A	N/A	N/A	N/A	GCF_002904165.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mobilitalea;s__Mobilitalea hemicellulosilytica	80.99	0.62	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mobilitalea;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_900070325.1, s__Mobilitalea luporum, 95.0, 77.39, 0.24; GCA_004294845.1, s__Mobilitalea sp004294845, 95.0, 77.37, 0.16; GCA_012735495.1, s__Mobilitalea sp012735495, 95.0, 77.31, 0.19; GCF_003945225.1, s__Mobilitalea hemicellulosilytica_A, 95.0, 77.17, 0.1; GCF_015999265.1, s__Mobilitalea sibirica, 95.0, 77.17, 0.09; GCA_012522735.1, s__Mobilitalea sp012522735, 95.0, 77.08, 0.14; GCA_012518975.1, s__Mobilitalea sp012518975, 95.0, 77.03, 0.15; GCA_012837605.1, s__Mobilitalea sp012837605, 95.0, 76.99, 0.24; GCA_012523775.1, s__Mobilitalea sp012523775, 95.0, 76.99, 0.23; GCA_012519905.1, s__Mobilitalea sp012519905, 95.0, 76.92, 0.14; GCA_012523925.1, s__Mobilitalea sp012523925, 95.0, 76.87, 0.05; GCA_015057615.1, s__Mobilitalea sp015057615, 95.0, 76.58, 0.07; GCA_017861355.1, s__Mobilitalea sp017861355, 95.0, 76.57, 0.05; GCA_012518935.1, s__Mobilitalea sp012518935, 95.0, 76.51, 0.12; GCA_012520635.1, s__Mobilitalea sp012520635, 95.0, 76.44, 0.11; GCA_012839085.1, s__Mobilitalea sp012839085, 95.0, 76.44, 0.06; GCA_014174405.1, s__Mobilitalea sp014174405, 95.0, 76.43, 0.08; GCA_012839295.1, s__Mobilitalea sp012839295, 95.0, 76.4, 0.07; GCA_012837865.1, s__Mobilitalea sp012837865, 95.0, 76.38, 0.03; GCA_012519195.1, s__Mobilitalea sp012519195, 95.0, 76.28, 0.06; GCA_002329645.1, s__Mobilitalea sp002329645, 95.0, 76.28, 0.08; GCA_003519685.1, s__Mobilitalea sp003519685, 95.0, 76.28, 0.07; GCA_012839235.1, s__Mobilitalea sp012839235, 95.0, 76.19, 0.05; GCA_012519565.1, s__Mobilitalea sp012519565, 95.0, 76.18, 0.05; GCA_002307215.1, s__Mobilitalea sp002307215, 95.0, 75.98, 0.06	89.69	11	0.9753642161987477	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
